song_year,song_rank,singer,title,Genre,lyric,lyric_tokens
2001,11,이소라,제발,발라드,"잊지 못해 너를 있잖아
아직도 눈물 흘리며 널 생각해
늘 참지 못하고 투정 부린 것 미안해
나만 원한다고 했잖아
그렇게 웃고 울었던 기억들이
다른 사랑으로 잊혀져
지워지는게 난 싫어
어떻게든 다시 돌아오길 부탁해
처음으로 다시 돌아가길 바랄게
기다릴게 너를 하지만
너무 늦어지면은 안돼
멀어지지마 더 가까이 제발
모든걸 말할수 없잖아
마지막 얘길 할테니 좀 들어봐
많이 사랑하면 할수록
화만 내서 더 미안해
어떻게든 다시 돌아오길 부탁해
처음으로 다시 돌아가길 바랄게
기다릴게 너를 하지만
너무 늦어지면은 안돼
멀어지지마 더 가까이
잊지 말고 다시 돌아오길 부탁해
헤어지면 가슴 아플거라 생각해
기다릴게 너를 하지만
너무 늦어지면은 안돼
멀어지지마 더 가까이 제발
제발 제발",눈물 멀어지지마 부탁 투정 바랄게 부탁해 마지막 미안 얘길 화 가슴 돌아가길 사랑 처음 생각 미안해 모든걸 기억 돌아오길 기다릴게 생각해
2001,12,조규찬,Baby Baby,발라드,"이런 나를 상상할 수 없겠죠
차갑기만 했던 사람이
세상 모든게 의미없는 것처럼
사진 한장에 웃고 우는 모습
그대 없는 내가 나을것 같다며
지쳐 떠나버린 그대
이젠 나 없이도 행복할텐데
해마다 오는 그대의 날엔
그댈 너무 보고싶은걸
baby baby baby
기억하나요
baby my baby
언제나 걷던 그길로
그대 와주면 돼요
오늘이 내게는 오랜 기다림
그대에게는 우연같은 만남 baby
이런 나를 이해할수 없겠죠
바라기만 했던 사람이
아무런 기대없이 이렇게
그댈 멀리서 혼자 바라보는 모습
그대없는 내가 나을것 같다며
지쳐 떠나버린 그대
이젠 나 없이도 행복할텐데
해마다 오는 처음 만난 날엔
그댈 너무 보고싶은걸
baby baby baby
기억하나요
baby my baby
언제나 걷던 그길로
그대 와주면 돼요
오늘이 내게는 오랜 기다림
그대에게는 우연같은 만남 baby
일년에 단 한번만이라 해도
그댈 만날수만 있다면
또다시 일년을 버틸수 있게
오 그럴수 있잖아요
baby baby baby
기억하나요
baby my baby
언제나 걷던 그길로
그대 와주면 돼요
오늘이 내게는 오랜 기다림
그대에게는 우연같은 만남
baby baby baby
기억하나요
baby my baby
언제나 걷던 그길로
그대 와주면 돼요
오늘이 내게는 오랜 기다림
그대에게는 우연같은 만남",한번만 상상 리 의미 일년 사람 모습 그길 오 행복 한장 그대없 이해 오늘 기대 세상 기억 만남 우연 이젠 보고싶은걸
2001,13,성시경,내게 오는 길,발라드,"지금 곁에서 딴 생각에 잠겨
걷고 있는 그대
설레는 마음에 몰래
그대 모습 바라보면서
내 안에 담아요
사랑이겠죠
또 다른 말로는 설명 할 수 없죠
함께 걷는 이 길
다시 추억으로 끝나지않게
꼭 오늘처럼 지켜갈게요
사랑한다는 그 말 아껴둘 걸 그랬죠
이젠 어떻게 내 맘 표현해야 하나
모든 것이 변해가도
이 맘으로 그대 사랑할게요
망설였나요
날 받아주기가 아직 힘든가요
그댈 떠난 사람
그만 잊으려고 애쓰지마요
나 그때까지 기다릴테니
사랑한다는 그 말 아껴둘 걸 그랬죠
이젠 어떻게 내 맘 표현해야 하나
모든 것이 변해가도
이 맘으로 그대 사랑할게요
눈물이 또 남아있다면 모두 흘려버려요
이 좋은 하늘 아래 우리만 남도록
사랑할 수 있나요 내가 다가간만큼
이젠 내게 와줘요 내게 기댄 마음
사랑이 아니라해도 괜찮아요
그댈 볼 수 있으니
괜찮아요 내가 사랑할테니",지켜갈게요 눈물 사람 모습 설명 아니라해 하늘 추억 표현 오늘 안 사랑 생각 하나 마음 곁 아래 만큼 그때 사랑할게요 애쓰지마요 이젠
2001,14,토이 (Toy),좋은 사람 (Feat. 김형중),발라드,"오늘은 무슨일 인거니
울었던 얼굴 같은걸
그가 너의 마음을 아프게 했니
나에겐 세상 젤 소중한 너인데
자판기 커피를 내밀어
그 속에 감춰온 내 맘을 담아
고마워 오빤 너무 좋은 사람이야
그 한마디에 난 웃을뿐
혹시 넌 기억하고 있을까
내 친구 학교 앞에 놀러왔던 날
우리들 연인같다 장난쳤을 때
넌 웃었고 난 밤 지새웠지
네가 웃으면 나도 좋아
넌 장난이라 해도
널 기다렸던 날 널 보고 싶던 밤
내겐 벅찬 행복 가득한데
나는 혼자여도 괜찮아
널 볼 수만 있다면
늘 너의 뒤에서 늘 널 바라보는
그게 내가 가진 몫인것만 같아
친구들 지겹다 말하지
늘 같은 노랠 부르는 나에게
하지만 그게 바로 내 마음인걸
그대 먼곳만 보네요
혹시 넌 그날 내 맘을 알까
우리들 아는 친구 모두 모인 밤
술취한 널 데리러 온 그를 내게
인사시켰던 나의 생일 날
네가 좋으면 나도 좋아
네 옆에 그를 보며
나완 너무 다른 난 초라해지는
그에게 널 부탁한다는 말 밖에
널 울리는 사람과
위로 밖에 못하는 나
네가 웃으면 나도 좋아
넌 장난이라 해도
널 기다렸던 날 널 보고 싶던 밤
내겐 벅찬 행복 가득한데
나는 혼자여도 괜찮아
널 볼수만 있다면 나
늘 너의 뒤에서 늘 널 바라보는
그게 내가 가진 몫인것만 같아",자판기 마음인걸 가득한데 그날 사람 장난 부탁 밖 우리들 인사 행복 몫 소중 뒤 같은걸 나완 젤 먼곳만 밤 옆 연인 오늘 혼자 친구들 생일 친구 커피 세상 오빤 뿐 기억 학교 얼굴 마음 무슨일 초라 내겐 노랠 한마디
2001,15,김범수,하루,발라드,"사랑이 날 또 아프게해요
사랑이 날 또 울게 하네요
다시는 못쓰게 된 내 가슴은
이렇게 아픈데
사랑은 잔인하게 떠나가네요
정말 내가 괜찮을까요
그대가 한 그 인사처럼
그래 그댄 눈 가린채
모르는 척 떠나는게
차라리 편할 테죠
변할 수도 있을 거에요
저 바람도 매일이 다른데
그래도 이 세상에
살고 싶단 행복을 준건
너무나도 고마웠어요
사랑이 날 또 아프게해요
사랑이 날 또 울게 하네요
그렇게 사랑했던
추억마저 잊어달라며
사랑은 잔인하게 떠나가네요
잊을 수도 있을거예요
그대처럼 나도 변하겠죠
하지만 그날까지
내가 어찌 살아낼까요
벌써 그댈 보고 싶어요
사랑이 날 또 아프게해요
사랑이 날 또 울게 하네요
그렇게 사랑했던
추억마저 잊어달라며
사랑은 잔인하게 떠나가네요
이렇게 또 하루가
지나가네요
남겨진 모든 걸 가져가줘요
참을 수가 없는 아픔도 기억도
사랑이 날 또 아프게 하네요
사랑이 날 또 울게 하네요
다시는 못쓰게된 내 가슴은
이렇게 아픈데
사랑은 꿈을 깨듯 허무하네요
이렇게 또 하루가 지나가네요",허무 그댄 눈 잊어달라 준건 인사 잔인 채 행복 매일 추억 가슴 사랑 있을거예요 세상 테 기억 하루 그날 꿈
2001,16,임재범,사진속에 담긴 추억,발라드,"나의 기억속에 남겨진
그대 모습
이젠 정말 잊어야만해
흘러만 가는 시간처럼
그대 그리움이
안타까운 마음만 주네
소리없는 슬픔만
나의 맘에 쌓이고
희미해진 불빛속에
떠나버린 그대여
내 사랑 나의 사랑
어둠이 다가오네
눈 감으면 그대가
내 곁에 있는데
멀리 떠나갔지만
그대만을 사랑해
사진 속에 담긴 추억들도
이젠 잊어야만 해

이젠 이별뒤에 남겨둔
슬픈 사랑
나의 웃음 흩어져가네
아득하게만 느껴지는
그대 마음처럼
모든것이 멀어만지네
소리없는 슬픔만
나의 맘에 쌓이고
희미해진 불빛속에
떠나버린 그대여
내 사랑 나의 사랑
어둠이 다가오네
눈 감으면 그대가
내 곁에 있는데
멀리 떠나갔지만
그대만을 사랑해
사진 속에 담긴 추억들도
이젠 잊어야만해",소리 아득 모습 모든것 눈 시간 웃음 잊어야만해 추억들 어둠 사랑해 사랑 지 마음 곁 불빛속 기억속 이별뒤 그리움 이젠 희미
2001,17,YB (윤도현 밴드),내게 와 줘,록/메탈,"햇살처럼 눈부시게
내 마음에 쏟아지는
아름다운 그녀 모습
내 마음을 설레게 해
혹시 오늘 아침에도
그녈 만날 수 있을까
그럼 이제 용기를 내서
한번 말을 걸어볼까
아침마다 항상 힘들게
눈을 뜨던 나를 이제
달콤하게 깨우는
그녀 생각
자꾸 자꾸
웃음이 나와
나의 마음속의 그녀
내 맘을 간지럽히나봐
태연한 척 애써봐도
내 가슴을 뛰게 하는
아름다운 그녀 모습
점점 다가오고 있네
오늘은 꼭 그녀에게
좋아한다 말해야지
무슨말을 먼저할까
어떤 표정을 지을까
하지만 내곁을 무심히
스쳐 지나가는 그녀
다른 남자품으로
달려가네
한낱 꿈에 불과했었나
그녀를 원한 나의 마음
또 다시
무참히 깨지네
어디있나 내 사랑은
언제까지
외롭게 날
기다리게 할까

어디있나 내 사랑은
언제까지
외롭게 날
기다리게 할까
누구일까 내 사랑은
언제까지
외롭게 날
기다리게 할까
Oh oh
oh oh oh oh
이젠 나도
사랑하고 싶어
Oh oh
oh oh oh oh
어디있나
이젠 내게와줘",간지럽히나봐 태연한 표정 내곁 모습 눈 달콤 누구 햇살 웃음 어디있나 무슨말 그녀 가슴 오늘 사랑 한번 생각 그녈 아침 마음 언제 불과 먼저할까 이젠 용기 마음속 꿈 남자품
2001,18,윤미래,시간이 흐른 뒤 (As Time Goes By),R&B/Soul,"마지못해 살아가겠지 너 없이도
매일 아침 이렇게 일어나
밤새 조금씩 더
무뎌져 버린 기억속에서
애써 너의 얼굴을 꺼내어 보겠지
시간이란 누구에게나 느린
아픔을 주는지 우
힘든 하루 속에도
늘 니 생각뿐인 난
눈물마저도 말라가는데
as time goes by
난 그게 두려운 걸
니 안에서 나의 모든 게
없던 일이 될까봐 우
눈 감으면 늘 선명하던 니가
어느 순간 사라질까봐
정말 겁이나는 걸
이별이란 서로에게서
지워지는 거라지만 우
많은 사람속에도 늘
니 걱정 뿐인 나
시간마저도 붙잡고 싶은데
as time goes by
난 그게 두려운 걸
니 안에서 나의 모든 게
없던 일이 될까봐 우
눈 감으면 늘 선명하던 니가
어느 순간 사라지게 될까봐
내가 없는 세상이
너는 괜찮은 건지
너에게 잊을만한 추억일 뿐인지
참으려 애를 써도 늘 보고픈 나는
니가 아니면 안될 것 같은데
you're the one as time goes by
난 여기 있어줄게
셀 수 없는 밤이 지나도
사랑했던 그대로 우
혹시라도 너 돌아 오게 되면
단 한번에 나를 찾을 수 있게
as time goes by",순간 눈물 걱정 될까봐 눈 보고픈 시간 누구 일 추억 조금씩 밤 사람속 안 사랑 한번 이별 생각 세상 뿐 아침 얼굴 하루 선명 만 겁 기억속 애 사라질까봐 서로
2001,19,최재훈,편지 (Original Ver.),발라드,"내 영혼이 내 몸을 벗고 자유롭게 될거야
그럼 나의 사랑도 힘든 세상에다 두고 갈거야
그림자로 살아갈 만큼 강한 내가 아니야
널 갖지 못한 나 슬픔이 많던 나 모두 함께 태워 뿌려줘
널 처음 본 날 영화처럼 스쳐가 내 운명을 돌려놓은 그날이
이 세상은 감히 널 선택한 벌이 었나봐
니가 없는 곳에 태어날거야 워~
깨우지마 널 잊게 될테니 가엾은 날 너무 욕하지는마
내가 너로 인해 떠났다고 힘들어도마 그저 새로 시작하고 싶었어
사랑했어 그래서 내가 미치기 전에
멈춰야만 했어 나도 내 사랑이 힘에 겨워서
널 처음 본 날 영화처럼 스쳐가 내 운명을 돌려놓은 그날이
이 세상은 감히 널 선택한 벌이 었나봐
니가 없는 곳에 태어날거야 워~
깨우지마 널 잊게 될테니 가엾은 날 너무 욕하지는마
내가 너로 인해 떠났다고 힘들어도마 그저 새로 시작하고 싶었어
사랑했어 그래서 내가 미치기 전에 멈춰야만 했어 나를
널 다치게 할까봐 끝도 없이 달릴 사랑때문에
이젠 멈춰진 거야 나도 내 사랑도 정말 힘에 겨웠어",시작 깨우지마 갈거야 힘 할까봐 영혼 사랑때문 겨워서 겨웠어 그림자 었나봐 영화 힘들어도마 사랑 벌 세상 태어날거 몸 운명 선택 될거야 전 만큼 끝 욕하지는마 이젠 자유 그날
2001,20,드렁큰 타이거,Good Life,랩/힙합,"한잔 두잔 비워내는 술잔
혀를 지나 목구멍으로
넘어가는 순간
이제부터 시작되는 너와나의 시간
흘러가는 나그네들에 유일한 위안
한잔의 데낄라 같은 쓰디쓴
내 인생은
one shots liquorshots to my
세상 의미
현재 우물안 같은 버림
내 삶 깊이
너와나 old my time
바꿔 삶에 그림자 같은 의미
끝없는 경쟁 속에 나는 우정속에
터지는 기쁨에 눈물 조이는 내 목에
텅 빈 내맘 위해 불러보는
슬픈노래 손에
슬픈 술잔 속에 친구 자니
be walking the dark until he's
back bright back
힙합은 나의 술 so where are
you at
이젠 내 가슴에 파인 상처로 매꿔
그리고 마셔
여지껏 쌓인 나의 울분을 토해 뱉어
채워줄께 가득히 one shots
잔을위로 come on 머리위로
come on
건배 to my 세상 yo everybody
come on
우리위한 축배를 one shots
잔을위로 come on 머리위로
come on
건배 to my 세상 yo everybody
come on
yo 조용히 히 해 내 말좀 들어봐봐
내 술잔처럼 깨져버린 내인생의
drama
나를 버리고 간 너 곧 후회하지 지
지금 누구도 나를 건든다면
후회하지 히
나는 drunken 주정뱅이 끝없이
지껄이는 나
비틀비틀거리는 yo 쓰러져가는 팽이
괜히 저 눈길이 가는 저 table에 lady
the we can make wah we can
make better
항상 내 기대치만큼 더 이상에 만큼
좀 더 깊이 다가가지 못할지라도
항상 텅빈 나의 가슴 채우지
못할지라도
내 인생과 난모든 진실을 위해
내 인생 그것을 위해 우리들에 입에
straight on shots 독한물에 취해 나에
심장으로 부터나온 삶에 많은 얘기
후에 clark와 같이 바람과 함께
나는 사라지네
채워줄께 가득히 one shots
잔을위로 come on 머리위로
come on
건배 to my 세상 yo everybody
come on
우리위한 축배를 one shots
잔을위로 come on 머리위로
come on
건배 to my 세상 yo everybody
come on
채워줄께 가득히 one shots
잔을위로 come on 머리위로
come on
건배 to my 세상 yo everybody
come on
우리위한 축배를 one shots
잔을위로 come on 머리위로
come on
건배 to my 세상 yo everybody
come on
채워줄께 가득히 one shots
잔을위로 come on 머리위로
come on
건배 to my 세상 yo everybody
come on
우리위한 축배를 one shots
잔을위로 come on 머리위로
come on
건배 to my 세상 yo everybody
come on",시작 조 순간 팽이 눈물 의미 독한물 현재 후회 비틀비틀거리 히 매꿔 눈길 데낄라 시간 난모든 삶 우리들 손 누구 저 이상 한잔 인생 슬픈노래 축배 술 그림자 위안 술잔 우리위한 얘 진실 건배 너와나 주정뱅이 바람 혀 입 경쟁 목 잔을위 내인생 심장 부터나온 가슴 목구멍 말좀 친구 후 세상 나그네들 지 그것 분 파 자 두잔 건든다 힙합 만큼 이젠 상처 기대치 우물안 머리위 우정속
2001,21,박상민,하나의 사랑,발라드,"가슴속에 차오르는 그대
이렇게 외면 하지만
나는 이미 알고있잖아
그댈 원하고 있어
날 바라보는 그대 눈빛 속에
영원히 머물고 싶어
함께 할 수 없는 사랑을
이젠 견딜 수가 없어
다가갈수록 멀어지는
그대 뒷모습 바라보고 있어
돌아서서 젖어오는 슬픔을
그댄 알 수 없을꺼야
서로 잠시 멀리 있다해도
이제는 느낄수 있어
오직 내가 꿈꿔왔던건
그대라는 단 하나의 사랑
다가갈수록 멀어지는
그대 뒷모습 바라보고 있어
돌아서서 젖어오는 슬픔을
그댄 알 수 없을꺼야
그댄 알 수 없을 꺼야",가슴속 눈빛 하나 없을꺼야 꿈꿔왔던건 차오르 사랑 그댄 외면 이젠 원 뒷모습 있다해
